Method,Expert,UAV,Deployed
Proposed,0,0,1
Proposed,0,1,0
Proposed,0,2,0
Proposed,0,3,0
Proposed,1,0,0
Proposed,1,1,0
Proposed,1,2,0
Proposed,1,3,1
Proposed,2,0,0
Proposed,2,1,0
Proposed,2,2,1
Proposed,2,3,0
Proposed,3,0,0
Proposed,3,1,1
Proposed,3,2,0
Proposed,3,3,0
Proposed,4,0,0
Proposed,4,1,1
Proposed,4,2,0
Proposed,4,3,0
Proposed,5,0,0
Proposed,5,1,0
Proposed,5,2,1
Proposed,5,3,0
Proposed,6,0,0
Proposed,6,1,0
Proposed,6,2,0
Proposed,6,3,1
Proposed,7,0,1
Proposed,7,1,0
Proposed,7,2,0
Proposed,7,3,0
Proposed,8,0,0
Proposed,8,1,0
Proposed,8,2,0
Proposed,8,3,1
Proposed,9,0,1
Proposed,9,1,0
Proposed,9,2,0
Proposed,9,3,0
Proposed,10,0,0
Proposed,10,1,0
Proposed,10,2,1
Proposed,10,3,0
Proposed,11,0,0
Proposed,11,1,1
Proposed,11,2,0
Proposed,11,3,0
Proposed,12,0,0
Proposed,12,1,0
Proposed,12,2,0
Proposed,12,3,0
Proposed,13,0,0
Proposed,13,1,0
Proposed,13,2,0
Proposed,13,3,1
Proposed,14,0,0
Proposed,14,1,1
Proposed,14,2,0
Proposed,14,3,0
Proposed,15,0,0
Proposed,15,1,0
Proposed,15,2,1
Proposed,15,3,0
Proposed,16,0,0
Proposed,16,1,1
Proposed,16,2,0
Proposed,16,3,0
Proposed,17,0,0
Proposed,17,1,0
Proposed,17,2,1
Proposed,17,3,0
Proposed,18,0,0
Proposed,18,1,1
Proposed,18,2,0
Proposed,18,3,0
Proposed,19,0,1
Proposed,19,1,0
Proposed,19,2,0
Proposed,19,3,0
Proposed,20,0,0
Proposed,20,1,0
Proposed,20,2,1
Proposed,20,3,0
Proposed,21,0,0
Proposed,21,1,0
Proposed,21,2,0
Proposed,21,3,1
Proposed,22,0,0
Proposed,22,1,0
Proposed,22,2,0
Proposed,22,3,0
Proposed,23,0,0
Proposed,23,1,0
Proposed,23,2,0
Proposed,23,3,1
Proposed,24,0,0
Proposed,24,1,0
Proposed,24,2,0
Proposed,24,3,1
Proposed,25,0,1
Proposed,25,1,0
Proposed,25,2,0
Proposed,25,3,0
Proposed,26,0,1
Proposed,26,1,0
Proposed,26,2,0
Proposed,26,3,0
Proposed,27,0,0
Proposed,27,1,0
Proposed,27,2,1
Proposed,27,3,0
Proposed,28,0,0
Proposed,28,1,1
Proposed,28,2,0
Proposed,28,3,0
Proposed,29,0,0
Proposed,29,1,0
Proposed,29,2,0
Proposed,29,3,1
Proposed,30,0,0
Proposed,30,1,0
Proposed,30,2,0
Proposed,30,3,0
Proposed,31,0,0
Proposed,31,1,0
Proposed,31,2,1
Proposed,31,3,0
Proposed,32,0,0
Proposed,32,1,1
Proposed,32,2,0
Proposed,32,3,0
Proposed,33,0,0
Proposed,33,1,1
Proposed,33,2,0
Proposed,33,3,0
Proposed,34,0,1
Proposed,34,1,0
Proposed,34,2,0
Proposed,34,3,0
Proposed,35,0,0
Proposed,35,1,0
Proposed,35,2,1
Proposed,35,3,0
Proposed,36,0,0
Proposed,36,1,0
Proposed,36,2,0
Proposed,36,3,1
Proposed,37,0,0
Proposed,37,1,0
Proposed,37,2,1
Proposed,37,3,0
Proposed,38,0,0
Proposed,38,1,0
Proposed,38,2,0
Proposed,38,3,1
Proposed,39,0,1
Proposed,39,1,0
Proposed,39,2,0
Proposed,39,3,0
Proposed,40,0,0
Proposed,40,1,1
Proposed,40,2,0
Proposed,40,3,0
Proposed,41,0,0
Proposed,41,1,0
Proposed,41,2,1
Proposed,41,3,0
Proposed,42,0,0
Proposed,42,1,0
Proposed,42,2,0
Proposed,42,3,1
Proposed,43,0,0
Proposed,43,1,1
Proposed,43,2,0
Proposed,43,3,0
Proposed,44,0,1
Proposed,44,1,0
Proposed,44,2,0
Proposed,44,3,0
Proposed,45,0,0
Proposed,45,1,0
Proposed,45,2,1
Proposed,45,3,0
Proposed,46,0,0
Proposed,46,1,0
Proposed,46,2,0
Proposed,46,3,1
Proposed,47,0,1
Proposed,47,1,0
Proposed,47,2,0
Proposed,47,3,0
Proposed,48,0,0
Proposed,48,1,1
Proposed,48,2,0
Proposed,48,3,0
Proposed,49,0,1
Proposed,49,1,0
Proposed,49,2,0
Proposed,49,3,0
Proposed,50,0,0
Proposed,50,1,0
Proposed,50,2,1
Proposed,50,3,0
Proposed,51,0,0
Proposed,51,1,0
Proposed,51,2,0
Proposed,51,3,0
Proposed,52,0,0
Proposed,52,1,0
Proposed,52,2,0
Proposed,52,3,0
Proposed,53,0,0
Proposed,53,1,0
Proposed,53,2,0
Proposed,53,3,1
Proposed,54,0,0
Proposed,54,1,0
Proposed,54,2,0
Proposed,54,3,0
Proposed,55,0,0
Proposed,55,1,0
Proposed,55,2,0
Proposed,55,3,0
Proposed,56,0,0
Proposed,56,1,0
Proposed,56,2,0
Proposed,56,3,1
Proposed,57,0,0
Proposed,57,1,0
Proposed,57,2,0
Proposed,57,3,0
Proposed,58,0,0
Proposed,58,1,0
Proposed,58,2,1
Proposed,58,3,0
Proposed,59,0,0
Proposed,59,1,0
Proposed,59,2,0
Proposed,59,3,1
Proposed,60,0,0
Proposed,60,1,1
Proposed,60,2,0
Proposed,60,3,0
Proposed,61,0,0
Proposed,61,1,0
Proposed,61,2,0
Proposed,61,3,0
Proposed,62,0,1
Proposed,62,1,0
Proposed,62,2,0
Proposed,62,3,0
Proposed,63,0,0
Proposed,63,1,0
Proposed,63,2,0
Proposed,63,3,0
Proposed,64,0,0
Proposed,64,1,0
Proposed,64,2,0
Proposed,64,3,0
Proposed,65,0,1
Proposed,65,1,0
Proposed,65,2,0
Proposed,65,3,0
Proposed,66,0,0
Proposed,66,1,0
Proposed,66,2,0
Proposed,66,3,0
Proposed,67,0,0
