Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Proposed,0,0,92.870636,7.089630,48.357789,35.415164,2.008054,0
Proposed,1,1,72.477206,5.165110,43.347041,23.146335,0.818720,0
Proposed,2,2,72.044948,4.931634,49.396902,15.389471,2.326942,0
Proposed,3,3,92.726362,7.657057,44.817307,38.306827,1.945170,0
Proposed,4,0,78.415956,6.394964,44.533157,26.077156,1.410680,0
Proposed,5,1,87.426472,4.905284,46.675818,35.021121,0.824248,0
Proposed,6,2,76.244983,5.280750,48.793681,20.010810,2.159742,1
Proposed,7,3,77.855301,5.163217,44.850719,26.718017,1.123348,0
Proposed,8,0,62.078635,3.047995,45.651272,12.620563,0.758806,0
Proposed,9,1,78.385780,4.308077,46.009461,27.448342,0.619900,0
Random Placement,0,0,95.742649,7.089630,50.110362,36.422474,2.120183,0
Random Placement,1,1,90.906538,5.165110,45.211694,37.460786,3.068949,0
Random Placement,2,2,88.666069,4.931634,47.932554,35.035399,0.766482,0
Random Placement,3,3,98.639527,7.657057,45.864707,42.832232,2.285531,0
Random Placement,4,0,90.150107,6.394964,47.203012,34.696132,1.855999,0
Random Placement,5,1,86.998383,4.905284,47.974290,31.275298,2.843510,0
Random Placement,6,2,87.739250,5.280750,48.274242,33.418144,0.766113,0
Random Placement,7,3,92.348298,5.163217,47.302893,38.257073,1.625116,0
Random Placement,8,0,64.803427,3.047995,47.736829,13.005896,1.012707,0
Random Placement,9,1,85.042051,4.308077,47.235162,30.842710,2.656102,0
Importance-based Placement,0,0,63.547310,7.089630,47.367430,6.047108,3.043142,0
Importance-based Placement,1,1,62.632981,5.165110,44.310288,11.517665,1.639918,0
Importance-based Placement,2,2,64.342195,4.931634,47.232810,10.597106,1.580645,0
Importance-based Placement,3,3,66.930592,7.657057,45.937084,12.360407,0.976043,1
Importance-based Placement,4,0,58.996772,6.394964,45.050544,5.375207,2.176056,0
Importance-based Placement,5,1,63.071377,4.905284,45.692249,10.840155,1.633688,0
Importance-based Placement,6,2,65.576928,5.280750,47.282771,11.354042,1.659364,0
Importance-based Placement,7,3,63.622803,5.163217,45.146378,12.601264,0.711945,0
Importance-based Placement,8,0,52.489623,3.047995,45.527031,2.687604,1.226994,0
Importance-based Placement,9,1,61.101074,4.308077,45.933021,9.485136,1.374841,0
No-similarity Placement,0,0,61.512767,7.089630,44.255727,9.179909,0.987502,0
No-similarity Placement,1,1,66.059493,5.165110,42.839145,16.237427,1.817811,0
No-similarity Placement,2,2,67.362065,4.931634,46.936935,13.863940,1.629556,0
No-similarity Placement,3,3,72.744909,7.657057,43.910591,18.001806,3.175456,0
No-similarity Placement,4,0,63.633859,6.394964,42.634525,13.606116,0.998254,0
No-similarity Placement,5,1,65.089372,4.905284,44.096939,14.416979,1.670169,0
No-similarity Placement,6,2,63.605321,5.280750,47.935709,9.005807,1.383055,0
No-similarity Placement,7,3,58.690022,5.163217,42.863563,8.714401,1.948841,0
No-similarity Placement,8,0,55.176570,3.047995,43.659590,7.987204,0.481781,0
No-similarity Placement,9,1,58.486864,4.308077,43.165629,9.547251,1.465908,0
