Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Proposed,0,0,25.553464,22.400999,0.006873,0.000000,3.145592,10
Proposed,1,1,29.046195,25.515099,0.023288,0.000000,3.507808,9
Proposed,2,2,28.345454,23.627972,1.056229,0.000000,3.661253,9
Proposed,3,3,27.382407,24.182869,0.002802,0.000000,3.196736,9
Proposed,4,0,30.062546,26.380391,0.007000,0.000000,3.675155,10
Proposed,5,1,31.801197,27.777419,0.023650,0.000000,4.000127,7
Proposed,6,2,30.380224,25.403092,1.056229,0.000000,3.920903,10
Proposed,7,3,30.533959,26.984856,0.002852,0.000000,3.546250,8
Proposed,8,0,46.434540,40.783127,0.006918,0.000000,5.644495,10
Proposed,9,1,26.033842,22.708135,0.023095,0.000000,3.302612,9
Proposed,10,2,27.926225,23.370234,1.056229,0.000000,3.499763,9
Proposed,11,3,35.529912,31.325791,0.002817,0.000000,4.201303,7
Proposed,12,0,28.536566,25.003498,0.006862,0.000000,3.526206,10
Proposed,13,1,33.476414,29.321397,0.023650,0.000000,4.131367,10
Proposed,14,2,32.940656,27.738215,1.083742,0.000000,4.118699,10
Proposed,15,3,49.713725,17.740737,0.436580,26.328214,5.208193,6
Proposed,16,0,52.926210,17.740569,0.518017,28.465572,6.202053,4
Proposed,17,1,30.321886,26.521251,0.023095,0.000000,3.777540,8
Proposed,18,2,23.360950,19.305028,1.056229,0.000000,2.999693,10
Proposed,19,3,33.723438,18.648700,0.431311,9.221595,5.421832,6
Proposed,20,0,82.072080,71.987294,0.006918,0.000000,10.077868,9
Proposed,21,1,79.970782,70.300201,0.023288,0.000000,9.647294,7
Proposed,22,2,84.429371,72.497647,1.056229,0.000000,10.875495,10
Proposed,23,3,79.422117,70.274996,0.002818,0.000000,9.144303,10
Proposed,24,0,81.002357,71.100551,0.006907,0.000000,9.894899,9
Proposed,25,1,132.677338,116.693148,0.023650,0.000000,15.960540,9
Proposed,26,2,126.906333,109.542798,1.056229,0.000000,16.307307,10
Proposed,27,3,124.826462,110.522177,0.002815,0.000000,14.301469,7
Proposed,28,0,123.493582,108.553041,0.006964,0.000000,14.933577,9
Proposed,29,1,125.713599,110.496740,0.023650,0.000000,15.193209,9
Proposed,30,2,76.277398,65.386627,1.056229,0.000000,9.834542,10
Proposed,31,3,75.211936,66.508668,0.002804,0.000000,8.700464,7
Proposed,32,0,73.006676,64.065125,0.006873,0.000000,8.934678,10
Proposed,33,1,74.886056,65.848332,0.023095,0.000000,9.014629,8
Proposed,34,2,75.407375,64.649547,1.056229,0.000000,9.701599,10
Proposed,35,3,71.397212,63.133292,0.002802,0.000000,8.261119,8
Proposed,36,0,71.216559,62.608638,0.006964,0.000000,8.600958,9
Proposed,37,1,71.288124,62.643125,0.023650,0.000000,8.621348,9
Proposed,38,2,72.077644,61.758021,1.056229,0.000000,9.263394,9
Proposed,39,3,73.733833,65.295874,0.002802,0.000000,8.435157,8
Random Placement,0,0,25.553668,22.400999,0.007078,0.000000,3.145592,8
Random Placement,1,1,66.434501,25.515099,0.006439,33.793036,7.119927,9
Random Placement,2,2,57.532111,23.627972,0.007424,26.246973,7.649743,7
Random Placement,3,3,54.317966,24.182869,0.004777,18.337223,11.793097,8
Random Placement,4,0,30.062949,26.380391,0.007403,0.000000,3.675155,7
Random Placement,5,1,75.908024,27.777419,0.592538,40.181267,7.356799,8
Random Placement,6,2,60.515074,25.403092,0.007065,28.235380,6.869537,10
Random Placement,7,3,59.203996,26.984856,0.004819,21.303539,10.910782,9
Random Placement,8,0,46.434708,40.783127,0.007086,0.000000,5.644495,7
Random Placement,9,1,41.878909,22.708135,0.008505,11.939978,7.222290,7
Random Placement,10,2,57.184189,23.370234,0.007256,27.440017,6.366682,6
Random Placement,11,3,70.497262,31.325791,0.004820,24.809184,14.357466,9
Random Placement,12,0,28.536768,25.003498,0.007065,0.000000,3.526206,8
Random Placement,13,1,52.758214,29.321397,0.008720,14.834519,8.593578,6
Random Placement,14,2,67.235855,27.738215,0.007280,31.416832,8.073529,8
Random Placement,15,3,68.098187,17.740737,0.091435,45.695437,4.570577,5
Random Placement,16,0,32.215875,17.740569,0.010782,9.407256,5.057268,7
Random Placement,17,1,72.247149,26.521251,0.592538,38.197007,6.936352,9
Random Placement,18,2,55.379072,19.305028,0.094710,32.979640,2.999693,8
Random Placement,19,3,48.438373,18.648700,0.008150,24.781560,4.999963,7
Random Placement,20,0,82.072248,71.987294,0.007086,0.000000,10.077868,8
Random Placement,21,1,203.277138,70.300201,0.094217,112.220042,20.662679,8
Random Placement,22,2,175.759626,72.497647,0.007086,83.910778,19.344115,8
Random Placement,23,3,172.697371,70.274996,0.092627,74.767239,27.562509,9
Random Placement,24,0,81.002536,71.100551,0.007086,0.000000,9.894899,9
Random Placement,25,1,199.631148,116.693148,0.008514,58.252622,24.676864,8
Random Placement,26,2,269.862399,109.542798,0.007086,128.053415,32.259100,8
Random Placement,27,3,268.638474,110.522177,0.092596,117.281944,40.741757,10
Random Placement,28,0,123.493704,108.553041,0.007086,0.000000,14.933577,8
Random Placement,29,1,201.038517,110.496740,0.008514,58.795348,31.737916,8
Random Placement,30,2,161.023300,65.386627,0.007065,75.957150,19.672458,7
Random Placement,31,3,166.765648,66.508668,0.092547,70.735672,29.428761,11
Random Placement,32,0,73.006880,64.065125,0.007078,0.000000,8.934678,7
Random Placement,33,1,117.846517,65.848332,0.008505,34.372665,17.617014,6
Random Placement,34,2,155.483693,64.649547,0.007065,73.968743,16.858338,9
Random Placement,35,3,156.115404,63.133292,0.092608,67.070611,25.818892,10
Random Placement,36,0,71.216681,62.608638,0.007086,0.000000,8.600958,8
Random Placement,37,1,112.964147,62.643125,0.008514,33.468121,16.844387,7
Random Placement,38,2,151.625177,61.758021,0.007086,72.378017,17.482054,9
Random Placement,39,3,163.486637,65.295874,0.092608,67.437118,30.661037,10
Importance-based Placement,0,0,65.921163,22.400999,0.014301,34.191756,9.314106,6
Importance-based Placement,1,1,45.082024,25.515099,0.014472,13.568157,5.984296,6
Importance-based Placement,2,2,56.756976,23.627972,0.003046,26.246973,6.878986,0
Importance-based Placement,3,3,27.382577,24.182869,0.002972,0.000000,3.196736,0
Importance-based Placement,4,0,73.659976,26.380391,0.014578,39.619019,7.645988,6
Importance-based Placement,5,1,49.194455,27.777419,0.013816,14.653610,6.749610,6
Importance-based Placement,6,2,61.412305,25.403092,0.003004,28.235380,7.770829,0
Importance-based Placement,7,3,30.534020,26.984856,0.002913,0.000000,3.546250,0
Importance-based Placement,8,0,119.195611,40.783127,0.014104,64.584429,13.813951,6
Importance-based Placement,9,1,40.923784,22.708135,0.014301,11.939978,6.261370,6
Importance-based Placement,10,2,56.972666,23.370234,0.002990,27.440017,6.159425,0
Importance-based Placement,11,3,35.530070,31.325791,0.002976,0.000000,4.201303,0
Importance-based Placement,12,0,75.041677,25.003498,0.014152,39.619019,10.405008,6
Importance-based Placement,13,1,50.203543,29.321397,0.014187,14.834519,6.033441,6
Importance-based Placement,14,2,65.065506,27.738215,0.002971,31.416832,5.907489,0
Importance-based Placement,15,3,20.214754,17.740737,0.002949,0.000000,2.471068,0
Importance-based Placement,16,0,53.292460,17.740569,0.014578,28.221767,7.315547,6
Importance-based Placement,17,1,46.703829,26.521251,0.014578,13.929975,6.238025,6
Importance-based Placement,18,2,46.963182,19.305028,0.003002,22.667841,4.987311,0
Importance-based Placement,19,3,21.076467,18.648700,0.002990,0.000000,2.424777,0
Importance-based Placement,20,0,214.601202,71.987294,0.014104,114.515248,28.084555,6
Importance-based Placement,21,1,126.018258,70.300201,0.014104,37.086297,18.617656,6
Importance-based Placement,22,2,176.639599,72.497647,0.002973,83.910778,20.228201,0
Importance-based Placement,23,3,79.422291,70.274996,0.002992,0.000000,9.144303,0
Importance-based Placement,24,0,212.909309,71.100551,0.014104,112.344343,29.450311,6
Importance-based Placement,25,1,205.845521,116.693148,0.013703,58.252622,30.886048,6
Importance-based Placement,26,2,264.790045,109.542798,0.002986,128.053415,27.190847,0
Importance-based Placement,27,3,124.826620,110.522177,0.002973,0.000000,14.301469,0
Importance-based Placement,28,0,322.838357,108.553041,0.013816,173.672414,40.599086,6
Importance-based Placement,29,1,198.161198,110.496740,0.013703,58.795348,28.855408,6
Importance-based Placement,30,2,158.838042,65.386627,0.002931,75.957150,17.491333,0
Importance-based Placement,31,3,75.212063,66.508668,0.002931,0.000000,8.700464,0
Importance-based Placement,32,0,187.414328,64.065125,0.014195,101.489817,21.845192,6
Importance-based Placement,33,1,118.658719,65.848332,0.014195,34.372665,18.423527,6
Importance-based Placement,34,2,157.025156,64.649547,0.002948,73.968743,18.403917,0
Importance-based Placement,35,3,71.397396,63.133292,0.002986,0.000000,8.261119,0
Importance-based Placement,36,0,186.208804,62.608638,0.013816,97.148006,26.438344,6
Importance-based Placement,37,1,112.370605,62.643125,0.013816,33.468121,16.245542,6
Importance-based Placement,38,2,149.105315,61.758021,0.002990,72.378017,14.966287,0
Importance-based Placement,39,3,73.734017,65.295874,0.002986,0.000000,8.435157,0
