experiment,value,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
expert_count,16.000000,Proposed,2356.036492,58,16,51.408631,0.050190,0.213773,7.228318,True
expert_count,16.000000,Random Placement,2345.223664,61,16,51.408631,0.046131,0.000000,7.175830,True
expert_count,16.000000,Importance-based Placement,3579.611449,40,16,51.408631,0.002345,27.680309,10.399002,True
expert_count,16.000000,No-similarity Placement,4624.479165,0,11,51.408631,0.000503,50.855988,13.346857,True
expert_count,32.000000,Proposed,2357.733576,118,32,51.408631,0.092617,0.213773,7.228318,True
expert_count,32.000000,Random Placement,3371.805291,105,32,51.408631,0.008534,22.188627,10.689341,True
expert_count,32.000000,Importance-based Placement,3579.709660,80,32,51.408631,0.004800,27.680309,10.399002,True
expert_count,32.000000,No-similarity Placement,4624.499522,0,21,51.408631,0.001012,50.855988,13.346857,True
expert_count,48.000000,Proposed,2727.675469,155,48,51.408631,0.048029,7.803411,8.931816,True
expert_count,48.000000,Random Placement,4131.044531,154,48,51.408631,0.010912,37.940392,13.916179,True
expert_count,48.000000,Importance-based Placement,5418.912782,81,48,51.408631,0.003518,69.780078,14.280593,True
expert_count,48.000000,No-similarity Placement,4980.898114,0,28,51.408631,0.001613,59.765352,13.346857,True
expert_count,64.000000,Proposed,2730.866650,222,49,51.408631,0.048657,8.052161,8.762218,True
expert_count,64.000000,Random Placement,4237.600097,193,49,51.408631,0.010374,41.000829,13.520169,True
expert_count,64.000000,Importance-based Placement,6266.695812,81,49,51.408631,0.004628,91.118267,14.135870,True
expert_count,64.000000,No-similarity Placement,6638.855073,0,30,51.408631,0.002429,100.424448,14.135870,True
expert_count,80.000000,Proposed,2730.715993,308,49,51.408631,0.050072,8.052161,8.757036,True
expert_count,80.000000,Random Placement,5109.342507,260,49,51.408631,0.020704,62.809600,13.494627,True
expert_count,80.000000,Importance-based Placement,6266.740567,81,49,51.408631,0.005747,91.118267,14.135870,True
expert_count,80.000000,No-similarity Placement,8563.179723,0,33,51.408631,0.002947,149.257055,13.410861,True
expert_count,96.000000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
expert_count,96.000000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
expert_count,96.000000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
expert_count,96.000000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
