experiment,value,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
mid_scale,0.500000,Proposed,3289.842487,337,49,51.408631,0.040673,18.950605,11.846154,True
mid_scale,0.500000,Random Placement,5356.173694,169,49,51.408631,0.032994,68.619526,13.843192,True
mid_scale,0.500000,Importance-based Placement,5559.567807,78,49,51.408631,0.081893,73.206338,14.292334,True
mid_scale,0.500000,No-similarity Placement,7424.677955,0,35,51.408631,0.004300,120.068148,14.135870,True
mid_scale,0.750000,Proposed,3557.990001,364,49,51.408631,0.046062,25.726443,11.768615,True
mid_scale,0.750000,Random Placement,6117.714157,215,49,51.408631,0.041801,87.556779,13.935644,True
mid_scale,0.750000,Importance-based Placement,6471.920637,97,49,51.408631,0.095726,96.001326,14.292334,True
mid_scale,0.750000,No-similarity Placement,8790.515274,0,35,51.408631,0.004300,154.214081,14.135870,True
mid_scale,1.000000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
mid_scale,1.000000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
mid_scale,1.000000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
mid_scale,1.000000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
mid_scale,1.250000,Proposed,4074.707642,386,49,51.408631,0.050598,39.054472,11.353990,True
mid_scale,1.250000,Random Placement,7475.531810,266,49,51.408631,0.013610,121.173721,14.292334,True
mid_scale,1.250000,Importance-based Placement,8349.147066,108,49,51.408631,0.102848,142.924865,14.292334,True
mid_scale,1.250000,No-similarity Placement,11522.189913,0,35,51.408631,0.004300,222.505947,14.135870,True
mid_scale,1.500000,Proposed,4387.143418,386,49,51.408631,0.050598,46.865366,11.353990,True
mid_scale,1.500000,Random Placement,8330.866553,266,49,51.408631,0.013610,142.557090,14.292334,True
mid_scale,1.500000,Importance-based Placement,9325.384911,115,49,51.408631,0.103075,167.330584,14.292334,True
mid_scale,1.500000,No-similarity Placement,12888.027232,0,35,51.408631,0.004300,256.651880,14.135870,True
mid_scale,2.000000,Proposed,5012.014969,386,49,51.408631,0.050598,62.487155,11.353990,True
mid_scale,2.000000,Random Placement,10041.536038,266,49,51.408631,0.013610,185.323827,14.292334,True
mid_scale,2.000000,Importance-based Placement,11217.482223,119,49,51.408631,0.103205,214.632886,14.292334,True
mid_scale,2.000000,No-similarity Placement,15619.701870,0,35,51.408631,0.004300,324.943746,14.135870,True
