experiment,value,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
xi,0.500000,Proposed,3931.210362,387,49,51.408631,0.130839,35.830600,10.910189,True
xi,0.500000,Random Placement,5155.367036,263,49,51.408631,0.091728,64.638342,12.745476,True
xi,0.500000,Importance-based Placement,5719.832708,144,49,51.408631,0.069302,78.776379,12.741506,True
xi,0.500000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,0.600000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
xi,0.600000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
xi,0.600000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
xi,0.600000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,0.700000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
xi,0.700000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
xi,0.700000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
xi,0.700000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,0.800000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
xi,0.800000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
xi,0.800000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
xi,0.800000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,0.900000,Proposed,4231.005348,315,49,51.408631,0.023628,40.955427,13.387448,True
xi,0.900000,Random Placement,8277.425472,205,49,51.408631,0.039896,142.140254,13.346857,True
xi,0.900000,Importance-based Placement,7350.541060,81,49,51.408631,0.011503,118.051059,14.292334,True
xi,0.900000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,1.000000,Proposed,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
xi,1.000000,Random Placement,14150.439234,0,35,51.408631,0.082524,288.922969,13.346857,True
xi,1.000000,Importance-based Placement,7345.773789,0,35,51.408631,0.008217,117.935164,14.292334,True
xi,1.000000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
