experiment,value,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
task_count,10.000000,Proposed,519.597654,95,49,26.576396,0.009581,19.378210,5.995578,True
task_count,10.000000,Random Placement,1025.909520,55,49,26.576396,0.005229,68.893115,7.116212,True
task_count,10.000000,Importance-based Placement,828.793393,0,49,26.576396,0.003667,49.160535,7.138742,True
task_count,10.000000,No-similarity Placement,1260.196225,0,24,26.576396,0.003669,92.300816,7.138742,True
task_count,20.000000,Proposed,1022.936898,192,49,25.123969,0.008891,20.439073,5.574911,True
task_count,20.000000,Random Placement,1529.351879,105,49,25.123969,0.048424,44.809105,6.486097,True
task_count,20.000000,Importance-based Placement,1534.427826,19,49,25.123969,0.004926,44.511250,7.081246,True
task_count,20.000000,No-similarity Placement,2615.932953,0,33,25.123969,0.003856,98.587577,7.081246,True
task_count,30.000000,Proposed,2710.042062,284,49,47.148266,0.049170,32.717010,10.420289,True
task_count,30.000000,Random Placement,4091.844823,160,49,47.148266,0.026618,76.731163,12.488780,True
task_count,30.000000,Importance-based Placement,5044.320289,28,49,47.148266,0.008154,108.280722,12.706868,True
task_count,30.000000,No-similarity Placement,7016.934391,0,34,47.148266,0.004211,174.294795,12.450540,True
task_count,40.000000,Proposed,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
task_count,40.000000,Random Placement,6731.622647,256,49,51.408631,0.027936,102.557696,14.296303,True
task_count,40.000000,Importance-based Placement,7386.560500,101,49,51.408631,0.102621,118.860427,14.292334,True
task_count,40.000000,No-similarity Placement,10156.352593,0,35,51.408631,0.004300,188.360014,14.135870,True
task_count,60.000000,Proposed,4771.277506,578,49,42.647077,0.056543,27.336883,9.480789,True
task_count,60.000000,Random Placement,8453.556453,376,49,42.647077,0.032726,86.317732,11.895074,True
task_count,60.000000,Importance-based Placement,9120.728818,142,49,42.647077,0.101890,97.373398,11.889781,True
task_count,60.000000,No-similarity Placement,12734.438325,0,35,42.647077,0.004258,157.804976,11.784329,True
task_count,80.000000,Proposed,7621.790705,768,49,51.408631,0.050826,32.402480,11.410447,True
task_count,80.000000,Random Placement,13463.245295,512,49,51.408631,0.027936,102.557696,14.296303,True
task_count,80.000000,Importance-based Placement,14773.121000,202,49,51.408631,0.102621,118.860427,14.292334,True
task_count,80.000000,No-similarity Placement,20312.705187,0,35,51.408631,0.004300,188.360014,14.135870,True
