experiment,value,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
uav_count,4.000000,Proposed,3622.695456,344,49,55.828658,0.040992,24.001811,10.695926,True
uav_count,4.000000,Random Placement,5776.474088,177,49,55.828658,0.031076,76.462711,12.089408,True
uav_count,4.000000,Importance-based Placement,5642.872005,75,49,55.828658,0.074354,72.836267,12.332522,True
uav_count,4.000000,No-similarity Placement,7117.665720,0,35,55.828658,0.004300,109.875937,12.232748,True
uav_count,6.000000,Proposed,4058.785228,302,71,59.984549,0.058052,30.628422,10.798608,True
uav_count,6.000000,Random Placement,6312.421478,204,71,59.984549,0.100593,86.354536,11.370859,True
uav_count,6.000000,Importance-based Placement,4896.984967,157,71,59.984549,0.010673,51.329042,11.100361,True
uav_count,6.000000,No-similarity Placement,6224.747448,0,35,59.984549,0.004144,81.494124,14.135870,True
uav_count,8.000000,Proposed,3833.356371,268,96,54.596730,0.232328,30.717584,10.287268,True
uav_count,8.000000,Random Placement,6047.091056,226,96,54.596730,0.139402,85.972353,10.468791,True
uav_count,8.000000,Importance-based Placement,5187.819603,83,96,54.596730,0.004019,63.755643,11.339099,True
uav_count,8.000000,No-similarity Placement,6063.248414,0,35,54.596730,0.002972,85.253601,11.727908,True
uav_count,10.000000,Proposed,3561.332529,316,96,60.965447,0.007413,19.634248,8.426205,True
uav_count,10.000000,Random Placement,6244.343062,224,96,60.965447,0.121199,83.057167,11.964763,True
uav_count,10.000000,Importance-based Placement,4964.013104,160,96,60.965447,0.006608,52.986920,10.141352,True
uav_count,10.000000,No-similarity Placement,6184.120976,0,35,60.965447,0.002972,81.095522,12.539084,True
uav_count,12.000000,Proposed,3424.305997,333,96,54.689791,0.005008,22.337089,8.575762,True
uav_count,12.000000,Random Placement,7090.959798,198,96,54.689791,0.216384,110.674376,11.693444,True
uav_count,12.000000,Importance-based Placement,4743.547461,149,96,54.689791,0.006386,53.893657,9.998853,True
uav_count,12.000000,No-similarity Placement,7026.253397,0,35,54.689791,0.002972,108.311507,12.652066,True
