experiment,value,num_uavs,num_tasks,area_size,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_D_per_task_ms,std_D_per_task_ms,mean_runtime_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms,mean_Deployments
uav_count,5.000000,5,60,240.000000,Proposed,1.000000,0,11806.339716,292.528156,196.772329,4.875469,4.275700,166.800000,148.002815,14.873085,8.600000
uav_count,5.000000,5,60,240.000000,Random Placement,1.000000,0,17136.240810,4606.886908,285.604013,76.781448,4.406940,117.200000,226.407661,25.276055,8.200000
uav_count,5.000000,5,60,240.000000,Importance-based Placement,1.000000,0,15570.015905,3065.281613,259.500265,51.088027,4.442420,137.600000,198.996905,26.587287,9.000000
uav_count,5.000000,5,60,240.000000,No-similarity Placement,1.000000,0,24943.934198,939.210944,415.732237,15.653516,3.026540,0.000000,351.798440,30.018062,5.000000
uav_count,10.000000,10,60,240.000000,Proposed,1.000000,0,11315.196479,714.407325,188.586608,11.906789,9.007520,163.400000,142.900602,11.837032,18.200000
uav_count,10.000000,10,60,240.000000,Random Placement,1.000000,0,11989.329513,892.598389,199.822159,14.876640,8.766760,163.400000,144.508026,21.432420,19.600000
uav_count,10.000000,10,60,240.000000,Importance-based Placement,1.000000,0,12338.251019,802.559097,205.637517,13.375985,8.806920,163.000000,149.507377,22.253533,18.800000
uav_count,10.000000,10,60,240.000000,No-similarity Placement,1.000000,0,23212.903073,1287.977715,386.881718,21.466295,5.973300,0.000000,324.536254,28.457708,10.000000
uav_count,20.000000,20,60,240.000000,Proposed,1.000000,0,11742.645719,540.018902,195.710762,9.000315,27.981320,162.400000,149.139879,12.776633,34.600000
uav_count,20.000000,20,60,240.000000,Random Placement,1.000000,0,12449.983115,711.233298,207.499719,11.853888,18.249340,162.400000,152.506838,21.166098,37.600000
uav_count,20.000000,20,60,240.000000,Importance-based Placement,1.000000,0,12407.871436,496.793329,206.797857,8.279889,19.151060,162.400000,151.199828,21.748295,38.800000
uav_count,20.000000,20,60,240.000000,No-similarity Placement,1.000000,0,23224.559133,814.868894,387.075986,13.581148,14.758040,0.000000,322.906613,30.297127,20.000000
task_count,20.000000,10,20,240.000000,Proposed,1.000000,0,3894.348795,453.584426,194.717440,22.679221,5.077400,54.600000,148.865065,11.353328,18.400000
task_count,20.000000,10,20,240.000000,Random Placement,1.000000,0,4151.645596,443.763940,207.582280,22.188197,3.651440,54.600000,149.613131,23.426428,19.600000
task_count,20.000000,10,20,240.000000,Importance-based Placement,1.000000,0,4221.959408,368.018969,211.097970,18.400948,3.720260,54.600000,152.259746,24.306463,18.800000
task_count,20.000000,10,20,240.000000,No-similarity Placement,1.000000,0,7931.231654,528.202016,396.561583,26.410101,3.023920,0.000000,330.605321,31.418000,10.000000
task_count,40.000000,10,40,240.000000,Proposed,1.000000,0,7720.558506,683.092870,193.013963,17.077322,7.111560,111.800000,144.484470,13.944177,18.200000
task_count,40.000000,10,40,240.000000,Random Placement,1.000000,0,8123.972794,747.877352,203.099320,18.696934,6.339540,111.800000,145.603038,22.878670,19.600000
task_count,40.000000,10,40,240.000000,Importance-based Placement,1.000000,0,8379.698841,531.252561,209.492471,13.281314,6.349440,111.800000,149.169602,25.714201,18.800000
task_count,40.000000,10,40,240.000000,No-similarity Placement,1.000000,0,15921.568316,697.248139,398.039208,17.431203,4.494000,0.000000,336.243499,27.198478,10.000000
task_count,60.000000,10,60,240.000000,Proposed,1.000000,0,11315.196479,714.407325,188.586608,11.906789,9.012720,163.400000,142.900602,11.837032,18.200000
task_count,60.000000,10,60,240.000000,Random Placement,1.000000,0,11989.329513,892.598389,199.822159,14.876640,8.748480,163.400000,144.508026,21.432420,19.600000
task_count,60.000000,10,60,240.000000,Importance-based Placement,1.000000,0,12338.251019,802.559097,205.637517,13.375985,8.794700,163.000000,149.507377,22.253533,18.800000
task_count,60.000000,10,60,240.000000,No-similarity Placement,1.000000,0,23212.903073,1287.977715,386.881718,21.466295,5.982780,0.000000,324.536254,28.457708,10.000000
task_count,80.000000,10,80,240.000000,Proposed,1.000000,0,15061.790445,1077.620958,188.272381,13.470262,11.267120,213.600000,141.678558,12.848705,19.000000
task_count,80.000000,10,80,240.000000,Random Placement,1.000000,0,15948.270358,1200.820364,199.353379,15.010255,11.247540,213.600000,143.234150,22.349777,19.600000
task_count,80.000000,10,80,240.000000,Importance-based Placement,1.000000,0,16497.546413,888.418486,206.219330,11.105231,11.297640,213.600000,147.042265,25.402176,18.800000
task_count,80.000000,10,80,240.000000,No-similarity Placement,1.000000,0,30511.429949,1659.933856,381.392874,20.749173,7.271100,0.000000,318.685982,28.931922,10.000000
task_count,100.000000,10,100,240.000000,Proposed,1.000000,0,18783.029163,998.924710,187.830292,9.989247,13.084960,271.600000,140.539427,13.292362,18.400000
task_count,100.000000,10,100,240.000000,Random Placement,1.000000,0,19881.540604,1269.149928,198.815406,12.691499,13.741220,271.600000,143.036234,21.746722,19.600000
task_count,100.000000,10,100,240.000000,Importance-based Placement,1.000000,0,20425.421184,894.828968,204.254212,8.948290,13.978120,271.600000,146.713538,23.511421,18.800000
task_count,100.000000,10,100,240.000000,No-similarity Placement,1.000000,0,38412.384455,1863.112234,384.123845,18.631122,8.724140,0.000000,320.785664,29.297980,10.000000
area_size,240.000000,10,60,240.000000,Proposed,1.000000,0,11315.196479,714.407325,188.586608,11.906789,9.047860,163.400000,142.900602,11.837032,18.200000
area_size,240.000000,10,60,240.000000,Random Placement,1.000000,0,11989.329513,892.598389,199.822159,14.876640,8.750560,163.400000,144.508026,21.432420,19.600000
area_size,240.000000,10,60,240.000000,Importance-based Placement,1.000000,0,12338.251019,802.559097,205.637517,13.375985,8.800000,163.000000,149.507377,22.253533,18.800000
area_size,240.000000,10,60,240.000000,No-similarity Placement,1.000000,0,23212.903073,1287.977715,386.881718,21.466295,5.964540,0.000000,324.536254,28.457708,10.000000
area_size,500.000000,10,60,500.000000,Proposed,0.800000,1,12557.329699,436.354784,209.288828,7.272580,8.586160,162.250000,151.600487,23.290590,19.250000
area_size,500.000000,10,60,500.000000,Random Placement,0.800000,1,13041.940311,665.071391,217.365672,11.084523,8.003980,160.250000,153.366035,38.643006,19.750000
area_size,500.000000,10,60,500.000000,Importance-based Placement,0.000000,5,inf,nan,inf,nan,5.923220,inf,177.570412,40.087974,inf
area_size,500.000000,10,60,500.000000,No-similarity Placement,0.000000,5,inf,nan,inf,nan,3.848400,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,Proposed,0.000000,5,inf,nan,inf,nan,4.598980,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,Random Placement,0.000000,5,inf,nan,inf,nan,4.458860,inf,170.783074,79.983086,inf
area_size,1000.000000,10,60,1000.000000,Importance-based Placement,0.000000,5,inf,nan,inf,nan,3.297520,inf,inf,inf,inf
area_size,1000.000000,10,60,1000.000000,No-similarity Placement,0.000000,5,inf,nan,inf,nan,2.441480,inf,inf,inf,inf
