compute_window_s,seed,method,feasible,D_total_ms,D_per_task_ms,substitutions,deployments,avg_D_access_ms,avg_D_compute_ms,avg_D_trans_ms,avg_D_return_ms
2.000000,0,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
2.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Proposed,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
2.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
3.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
3.000000,0,Importance-based Placement,1,10990.114400,274.752860,100.000000,7.000000,32.169127,191.790175,50.390314,0.403244
3.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
3.000000,1,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
3.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
3.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
3.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
3.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,4,Proposed,1,10366.669395,259.166735,122.000000,7.000000,37.821053,185.249594,35.685714,0.410374
3.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
3.000000,4,Importance-based Placement,1,10710.305560,267.757639,124.000000,7.000000,37.821053,195.037980,34.517344,0.381262
3.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
4.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
4.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
4.000000,0,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
4.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
4.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
4.000000,1,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
4.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
4.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
4.000000,2,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
4.000000,3,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,Importance-based Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,3,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
4.000000,4,Random Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
4.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
4.000000,4,No-similarity Placement,0,inf,inf,0.000000,0.000000,inf,inf,inf,inf
5.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
5.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
