compute_window_s,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_D_per_task_ms,std_D_per_task_ms,mean_substitutions,mean_deployments,mean_avg_D_compute_ms,mean_avg_D_trans_ms
2.000000,Proposed,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
2.000000,Random Placement,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
2.000000,Importance-based Placement,0.200000,4.000000,9688.925002,0.000000,242.223125,0.000000,112.000000,7.000000,163.457355,45.366736
2.000000,No-similarity Placement,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
3.000000,Proposed,1.000000,0.000000,9888.788473,614.308711,247.219712,15.357718,114.600000,6.400000,172.147373,40.101879
3.000000,Random Placement,0.400000,3.000000,10175.188007,277.721676,254.379700,6.943042,111.000000,7.000000,162.125359,59.124787
3.000000,Importance-based Placement,0.600000,2.000000,10463.114988,559.226160,261.577875,13.980654,112.000000,7.000000,183.428504,43.424798
3.000000,No-similarity Placement,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
4.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
4.000000,Random Placement,0.600000,2.000000,11152.921976,1401.194840,278.823049,35.029871,99.666667,6.666667,189.260698,55.258084
4.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,275.129142,39.212391,105.500000,6.750000,194.898819,45.031982
4.000000,No-similarity Placement,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
5.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
5.000000,Random Placement,0.600000,2.000000,11152.921976,1401.194840,278.823049,35.029871,99.666667,6.666667,189.260698,55.258084
5.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,275.129142,39.212391,105.500000,6.750000,194.898819,45.031982
5.000000,No-similarity Placement,0.000000,5.000000,inf,nan,inf,nan,0.000000,0.000000,inf,inf
6.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
6.000000,Random Placement,0.800000,1.000000,12028.391768,1942.125718,300.709794,48.553143,96.250000,6.500000,212.871761,52.559254
6.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,275.129142,39.212391,105.500000,6.750000,194.898819,45.031982
6.000000,No-similarity Placement,0.800000,1.000000,18877.599573,628.341151,471.939989,15.708529,0.000000,4.000000,388.644913,48.725375
7.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
7.000000,Random Placement,0.800000,1.000000,12028.391768,1942.125718,300.709794,48.553143,96.250000,6.500000,212.871761,52.559254
7.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,275.129142,39.212391,105.500000,6.750000,194.898819,45.031982
7.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,477.687318,18.153056,0.000000,4.000000,394.751473,47.958506
8.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
8.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,325.373321,65.719741,85.800000,6.200000,233.755772,56.542252
8.000000,Importance-based Placement,0.800000,1.000000,11005.165664,1568.495648,275.129142,39.212391,105.500000,6.750000,194.898819,45.031982
8.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,477.687318,18.153056,0.000000,4.000000,394.751473,47.958506
9.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
9.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,325.373321,65.719741,85.800000,6.200000,233.755772,56.542252
9.000000,Importance-based Placement,1.000000,0.000000,12527.744554,3352.779262,313.193614,83.819482,89.600000,6.400000,231.050772,47.143590
9.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,477.687318,18.153056,0.000000,4.000000,394.751473,47.958506
10.000000,Proposed,1.000000,0.000000,9878.904898,606.893392,246.972622,15.172335,114.800000,6.400000,171.847233,40.154929
10.000000,Random Placement,1.000000,0.000000,13014.932835,2628.789636,325.373321,65.719741,85.800000,6.200000,233.755772,56.542252
10.000000,Importance-based Placement,1.000000,0.000000,12527.744554,3352.779262,313.193614,83.819482,89.600000,6.400000,231.050772,47.143590
10.000000,No-similarity Placement,1.000000,0.000000,19107.492705,726.122228,477.687318,18.153056,0.000000,4.000000,394.751473,47.958506
