parameter,value,method,mean_D_total_ms,std_D_total_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms,mean_Deployments
memory_scale,0.800000,Proposed,inf,nan,92.000000,inf,inf,3.200000
memory_scale,0.800000,Random Placement,19716.401303,885.878419,0.000000,401.252931,56.551144,4.000000
memory_scale,0.800000,Importance-based Placement,19486.709356,903.591557,0.000000,398.122690,54.016993,4.000000
memory_scale,0.800000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506,4.000000
memory_scale,1.000000,Proposed,9892.556979,598.115491,114.400000,172.474058,39.869407,6.400000
memory_scale,1.000000,Random Placement,12854.257498,2469.057295,87.000000,225.474420,60.755445,6.200000
memory_scale,1.000000,Importance-based Placement,12423.948754,2420.634729,91.400000,220.007308,55.505711,6.400000
memory_scale,1.000000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506,4.000000
memory_scale,1.200000,Proposed,9820.572170,464.245066,114.200000,171.013073,39.533467,7.000000
memory_scale,1.200000,Random Placement,10612.583548,710.839234,113.600000,172.405371,57.801118,7.000000
memory_scale,1.200000,Importance-based Placement,10379.379783,496.526769,113.400000,166.890710,57.511511,7.000000
memory_scale,1.200000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506,4.000000
memory_scale,1.400000,Proposed,9820.572170,464.245066,114.200000,171.013073,39.533467,7.000000
memory_scale,1.400000,Random Placement,10125.249310,765.186877,112.000000,174.146977,43.928020,7.000000
memory_scale,1.400000,Importance-based Placement,9743.170801,435.741089,115.400000,162.103554,46.376628,7.000000
memory_scale,1.400000,No-similarity Placement,18768.359291,715.635130,0.000000,390.145529,44.081384,4.000000
memory_scale,1.600000,Proposed,9836.679168,455.196866,113.400000,172.354665,38.594550,7.000000
memory_scale,1.600000,Random Placement,10094.872986,675.109268,114.400000,175.666543,41.664485,7.000000
memory_scale,1.600000,Importance-based Placement,10504.734478,810.232700,109.600000,180.799120,46.731342,7.000000
memory_scale,1.600000,No-similarity Placement,18397.553774,1014.304603,0.000000,382.628792,42.319428,4.000000
