parameter,value,method,mean_D_total_ms,std_D_total_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms
mid_scale,0.400000,Proposed,9346.061300,593.515792,114.800000,171.847233,26.833840
mid_scale,0.400000,Random Placement,12404.868547,2607.446868,85.800000,233.755772,41.290645
mid_scale,0.400000,Importance-based Placement,11953.559786,3377.515029,90.000000,230.471923,33.368494
mid_scale,0.400000,No-similarity Placement,18486.415078,760.943422,0.000000,394.751473,32.431566
mid_scale,0.600000,Proposed,9523.675833,596.667795,114.800000,171.847233,31.274203
mid_scale,0.600000,Random Placement,12608.223310,2614.477206,85.800000,233.755772,46.374514
mid_scale,0.600000,Importance-based Placement,12144.195957,3369.730747,90.000000,230.471923,38.134398
mid_scale,0.600000,No-similarity Placement,18693.440954,748.920304,0.000000,394.751473,37.607212
mid_scale,0.800000,Proposed,9701.290365,601.136691,114.800000,171.847233,35.714566
mid_scale,0.800000,Random Placement,12811.578073,2621.591690,85.800000,233.755772,51.458383
mid_scale,0.800000,Importance-based Placement,12334.832127,3362.128365,90.000000,230.471923,42.900302
mid_scale,0.800000,No-similarity Placement,18900.466829,737.306689,0.000000,394.751473,42.782859
mid_scale,1.000000,Proposed,9878.904898,606.893392,114.800000,171.847233,40.154929
mid_scale,1.000000,Random Placement,13014.932835,2628.789636,85.800000,233.755772,56.542252
mid_scale,1.000000,Importance-based Placement,12527.744554,3352.779262,89.600000,231.050772,47.143590
mid_scale,1.000000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
mid_scale,1.200000,Proposed,10056.519431,613.901669,114.800000,171.847233,44.595293
mid_scale,1.200000,Random Placement,13228.369932,2642.376384,85.600000,234.032552,61.601399
mid_scale,1.200000,Importance-based Placement,12724.850871,3340.140192,89.400000,231.340197,51.781823
mid_scale,1.200000,No-similarity Placement,19314.518580,715.387050,0.000000,394.751473,53.134153
mid_scale,1.400000,Proposed,10234.278759,622.213713,114.600000,172.147373,48.741719
mid_scale,1.400000,Random Placement,13420.966752,2624.648723,85.200000,234.636585,65.814870
mid_scale,1.400000,Importance-based Placement,12913.102583,3335.122201,89.200000,231.629622,56.196297
mid_scale,1.400000,No-similarity Placement,19521.544456,705.121674,0.000000,394.751473,58.309800
mid_scale,1.600000,Proposed,10411.765115,631.509105,114.400000,172.363934,52.963341
mid_scale,1.600000,Random Placement,13621.620099,2626.650833,84.400000,235.758718,69.705983
mid_scale,1.600000,Importance-based Placement,13098.014649,3333.032814,89.200000,231.629622,60.819099
mid_scale,1.600000,No-similarity Placement,19728.570331,695.346908,0.000000,394.751473,63.485447
mid_scale,1.800000,Proposed,10593.905338,644.687854,113.400000,173.530319,56.346388
mid_scale,1.800000,Random Placement,13829.588579,2622.458789,83.600000,236.900458,73.757544
mid_scale,1.800000,Importance-based Placement,13282.926715,3331.091887,89.200000,231.629622,65.441900
mid_scale,1.800000,No-similarity Placement,19935.596207,686.083722,0.000000,394.751473,68.661094
mid_scale,2.000000,Proposed,10778.683528,660.312324,112.400000,174.613124,59.880780
mid_scale,2.000000,Random Placement,14021.696018,2632.483439,83.400000,237.180991,78.277623
mid_scale,2.000000,Importance-based Placement,13467.838781,3329.299677,89.200000,231.629622,70.064702
mid_scale,2.000000,No-similarity Placement,20142.622083,677.353104,0.000000,394.751473,73.836741
