parameter,value,method,mean_D_total_ms,std_D_total_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms
xi,0.500000,Proposed,8454.413963,459.593021,125.400000,145.345017,31.028052
xi,0.500000,Random Placement,10311.231379,1544.947095,116.800000,180.887386,41.845470
xi,0.500000,Importance-based Placement,10646.555853,2247.352377,111.600000,196.164333,35.010165
xi,0.500000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,0.600000,Proposed,9412.908921,839.933803,119.600000,161.957500,38.380609
xi,0.600000,Random Placement,11934.446432,2882.127948,97.800000,207.968453,55.314952
xi,0.600000,Importance-based Placement,12020.208458,3784.272956,94.000000,222.351844,43.157075
xi,0.600000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,0.700000,Proposed,9878.904898,606.893392,114.800000,171.847233,40.154929
xi,0.700000,Random Placement,13014.932835,2628.789636,85.800000,233.755772,56.542252
xi,0.700000,Importance-based Placement,12527.744554,3352.779262,89.600000,231.050772,47.143590
xi,0.700000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,0.800000,Proposed,9878.904898,606.893392,114.800000,171.847233,40.154929
xi,0.800000,Random Placement,13014.932835,2628.789636,85.800000,233.755772,56.542252
xi,0.800000,Importance-based Placement,12527.744554,3352.779262,89.600000,231.050772,47.143590
xi,0.800000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,0.900000,Proposed,11879.494236,1999.371158,87.600000,221.861967,40.154929
xi,0.900000,Random Placement,14808.320043,3291.535588,67.800000,276.639932,58.450509
xi,0.900000,Importance-based Placement,14149.176116,3936.748271,72.200000,267.985277,50.698315
xi,0.900000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,1.000000,Proposed,19107.492705,726.122228,0.000000,394.751473,47.958506
xi,1.000000,Random Placement,20413.060931,475.480785,0.000000,409.974726,65.180060
xi,1.000000,Importance-based Placement,20338.435262,920.938292,0.000000,409.664693,63.700727
xi,1.000000,No-similarity Placement,19107.492705,726.122228,0.000000,394.751473,47.958506
