Scenario,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
synthetic_hotspot_v2,redundancy_nu,0,8503.445922,107,6,35.325306,141.716513,35.164643,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.1,8503.445922,107,6,35.325306,141.716513,35.164643,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.3,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.5,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.7,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.05,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.1,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.2,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.4,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.25,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.5,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.75,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,1,8849.873622,109,6,35.325306,138.167042,47.325532,0.428961,True
synthetic_hotspot_v2,placement_profile,default,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,demand_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,compute_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,network_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,memory_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
