Scenario,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
synthetic_hotspot_v2,redundancy_nu,0,8503.445922,107,6,35.325306,141.716513,35.164643,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.1,8503.445922,107,6,35.325306,141.716513,35.164643,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.3,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.5,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,redundancy_nu,0.7,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.05,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.1,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.2,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,scheduling_lambda,0.4,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.25,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.5,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,0.75,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,remote_eta,1,8849.873622,109,6,35.325306,138.167042,47.325532,0.428961,True
synthetic_hotspot_v2,placement_profile,default,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,demand_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,compute_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,network_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
synthetic_hotspot_v2,placement_profile,memory_heavy,8464.990478,109,6,35.325306,138.046005,37.873764,0.379686,True
real_moe_uav,redundancy_nu,0,4075.839603,308,49,51.408631,0.006505,37.133997,13.346857,True
real_moe_uav,redundancy_nu,0.1,3933.654483,341,49,51.408631,0.008194,33.577681,13.346857,True
real_moe_uav,redundancy_nu,0.3,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
real_moe_uav,redundancy_nu,0.5,3821.738380,383,49,51.408631,0.052359,32.611612,11.470858,True
real_moe_uav,redundancy_nu,0.7,3987.881952,377,49,51.408631,0.055918,34.737873,13.494627,True
real_moe_uav,scheduling_lambda,0,3385.923436,401,49,51.408631,0.049305,21.112687,12.077463,True
real_moe_uav,scheduling_lambda,0.05,3762.271866,386,49,51.408631,0.050598,31.243578,11.353990,True
real_moe_uav,scheduling_lambda,0.1,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
real_moe_uav,scheduling_lambda,0.2,4105.497515,335,49,51.408631,0.042759,39.339895,11.846154,True
real_moe_uav,scheduling_lambda,0.4,5956.556219,269,49,51.408631,0.027214,84.789934,12.688127,True
real_moe_uav,remote_eta,0,3794.229152,373,49,51.408631,0.051404,32.363911,11.031783,True
real_moe_uav,remote_eta,0.25,3810.915402,384,49,51.408631,0.051327,32.402480,11.410447,True
real_moe_uav,remote_eta,0.5,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
real_moe_uav,remote_eta,0.75,3810.931368,385,49,51.408631,0.051726,32.402480,11.410447,True
real_moe_uav,remote_eta,1,3793.150754,388,49,51.408631,0.051643,31.958048,11.410447,True
real_moe_uav,placement_profile,default,3810.895352,384,49,51.408631,0.050826,32.402480,11.410447,True
real_moe_uav,placement_profile,demand_heavy,3598.587184,374,49,51.408631,0.050765,25.355965,13.149319,True
real_moe_uav,placement_profile,compute_heavy,3749.609926,383,49,51.408631,0.052880,31.824502,10.454236,True
real_moe_uav,placement_profile,network_heavy,3598.587184,374,49,51.408631,0.050765,25.355965,13.149319,True
real_moe_uav,placement_profile,memory_heavy,3597.908128,374,49,51.408631,0.050674,25.339080,13.149319,True
