Scenario,Seed,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
synthetic_hotspot_v2,0,redundancy_nu,0,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,redundancy_nu,0.1,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,redundancy_nu,0.3,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,redundancy_nu,0.5,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,redundancy_nu,0.7,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,scheduling_lambda,0,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,scheduling_lambda,0.05,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,scheduling_lambda,0.1,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,scheduling_lambda,0.2,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,scheduling_lambda,0.4,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,remote_eta,0,9286.973730,108,6,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,remote_eta,0.25,9286.973730,108,6,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,remote_eta,0.5,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,remote_eta,0.75,8859.417549,108,6,32.169127,164.391567,24.538615,0.386130,True
synthetic_hotspot_v2,0,remote_eta,1,9702.988038,108,6,32.169127,161.313555,48.670941,0.421079,True
synthetic_hotspot_v2,0,placement_profile,default,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,placement_profile,demand_heavy,9286.973730,108,6,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,placement_profile,compute_heavy,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,placement_profile,network_heavy,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,0,placement_profile,memory_heavy,9286.973730,108,7,32.169127,165.430597,34.208012,0.366608,True
synthetic_hotspot_v2,1,redundancy_nu,0,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,redundancy_nu,0.1,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,redundancy_nu,0.3,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,redundancy_nu,0.5,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,redundancy_nu,0.7,10857.891738,112,5,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,scheduling_lambda,0,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,scheduling_lambda,0.05,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,scheduling_lambda,0.1,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,scheduling_lambda,0.2,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,scheduling_lambda,0.4,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,remote_eta,0,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,remote_eta,0.25,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,remote_eta,0.5,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,remote_eta,0.75,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,remote_eta,1,10288.755364,112,6,36.202930,177.951988,42.642836,0.421131,True
synthetic_hotspot_v2,1,placement_profile,default,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,placement_profile,demand_heavy,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,placement_profile,compute_heavy,10565.065237,112,5,36.202930,182.592571,44.925431,0.405698,True
synthetic_hotspot_v2,1,placement_profile,network_heavy,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,1,placement_profile,memory_heavy,10857.891738,112,6,36.202930,189.948377,44.891032,0.404955,True
synthetic_hotspot_v2,2,redundancy_nu,0,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,redundancy_nu,0.1,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,redundancy_nu,0.3,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,redundancy_nu,0.5,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,redundancy_nu,0.7,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,scheduling_lambda,0,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,scheduling_lambda,0.05,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,scheduling_lambda,0.1,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,scheduling_lambda,0.2,9532.467911,112,7,32.990788,162.269925,42.650579,0.400405,True
synthetic_hotspot_v2,2,scheduling_lambda,0.4,10407.805024,95,7,32.990788,188.909971,37.883132,0.411234,True
synthetic_hotspot_v2,2,remote_eta,0,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,remote_eta,0.25,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,remote_eta,0.5,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,remote_eta,0.75,9486.872679,114,6,32.990788,151.474829,52.297432,0.408767,True
synthetic_hotspot_v2,2,remote_eta,1,9485.782176,114,6,32.990788,152.674426,51.077571,0.401769,True
synthetic_hotspot_v2,2,placement_profile,default,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,placement_profile,demand_heavy,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,placement_profile,compute_heavy,9486.872679,114,6,32.990788,151.474829,52.297432,0.408767,True
synthetic_hotspot_v2,2,placement_profile,network_heavy,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,2,placement_profile,memory_heavy,9464.207504,114,7,32.990788,159.135802,44.078192,0.400405,True
synthetic_hotspot_v2,3,redundancy_nu,0,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,redundancy_nu,0.1,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,redundancy_nu,0.3,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,redundancy_nu,0.5,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,redundancy_nu,0.7,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,scheduling_lambda,0,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,scheduling_lambda,0.05,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,scheduling_lambda,0.1,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,scheduling_lambda,0.2,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,scheduling_lambda,0.4,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,remote_eta,0,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,remote_eta,0.25,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,remote_eta,0.5,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,remote_eta,0.75,9417.157628,117,6,33.631725,147.271536,54.019424,0.506255,True
synthetic_hotspot_v2,3,remote_eta,1,9417.157628,117,6,33.631725,147.271536,54.019424,0.506255,True
synthetic_hotspot_v2,3,placement_profile,default,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,placement_profile,demand_heavy,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,placement_profile,compute_heavy,8887.084143,117,5,33.631725,147.525962,40.531883,0.487535,True
synthetic_hotspot_v2,3,placement_profile,network_heavy,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,placement_profile,memory_heavy,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,4,redundancy_nu,0,10315.724299,124,7,37.821053,182.626347,37.031041,0.414666,True
synthetic_hotspot_v2,4,redundancy_nu,0.1,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.3,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.5,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.7,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
