Scenario,Sweep,Value,n,D_total_ms_mean,D_total_ms_std,D_total_ms_min,D_total_ms_max,Substitutions_mean,Substitutions_std,Substitutions_min,Substitutions_max,Deployments_mean,Deployments_std,Deployments_min,Deployments_max,AvgAccess_ms_mean,AvgAccess_ms_std,AvgAccess_ms_min,AvgAccess_ms_max,AvgCompute_ms_mean,AvgCompute_ms_std,AvgCompute_ms_min,AvgCompute_ms_max,AvgTrans_ms_mean,AvgTrans_ms_std,AvgTrans_ms_min,AvgTrans_ms_max,AvgReturn_ms_mean,AvgReturn_ms_std,AvgReturn_ms_min,AvgReturn_ms_max,Feasible_rate
real_moe_uav,placement_profile,compute_heavy,5,3755.454536,4.955368,3750.498905,3762.984810,383.000000,0.000000,383.000000,383.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.052880,0.000000,0.052880,0.052880,31.824502,0.000000,31.824502,31.824502,10.518315,0.141843,10.366155,10.722511,1.000000
real_moe_uav,placement_profile,default,5,3799.041046,7.746210,3790.833896,3808.372167,384.000000,0.000000,384.000000,384.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050826,0.000000,0.050826,0.050826,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
real_moe_uav,placement_profile,demand_heavy,5,3580.317737,10.573793,3570.870304,3595.229044,374.000000,0.000000,374.000000,374.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050765,0.000000,0.050765,0.050765,25.355965,0.000000,25.355965,25.355965,12.610546,0.281650,12.376017,13.004076,1.000000
real_moe_uav,placement_profile,memory_heavy,5,3579.638681,10.573793,3570.191247,3594.549988,374.000000,0.000000,374.000000,374.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050674,0.000000,0.050674,0.050674,25.339080,0.000000,25.339080,25.339080,12.610546,0.281650,12.376017,13.004076,1.000000
real_moe_uav,placement_profile,network_heavy,5,3580.317737,10.573793,3570.870304,3595.229044,374.000000,0.000000,374.000000,374.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050765,0.000000,0.050765,0.050765,25.355965,0.000000,25.355965,25.355965,12.610546,0.281650,12.376017,13.004076,1.000000
real_moe_uav,redundancy_nu,0,5,4055.658345,4.498195,4052.961226,4063.573769,308.000000,0.000000,308.000000,308.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.006505,0.000000,0.006505,0.006505,37.133997,0.000000,37.133997,37.133997,12.760289,0.122677,12.690220,12.978921,1.000000
real_moe_uav,redundancy_nu,0.1,5,3913.473225,4.498195,3910.776106,3921.388649,341.000000,0.000000,341.000000,341.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.008194,0.000000,0.008194,0.008194,33.577681,0.000000,33.577681,33.577681,12.760289,0.122677,12.690220,12.978921,1.000000
real_moe_uav,redundancy_nu,0.3,5,3799.041046,7.746210,3790.833896,3808.372167,384.000000,0.000000,384.000000,384.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050826,0.000000,0.050826,0.050826,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
real_moe_uav,redundancy_nu,0.5,5,3811.409226,7.764937,3803.139034,3821.110164,383.000000,0.000000,383.000000,383.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.052359,0.000000,0.052359,0.052359,32.611612,0.000000,32.611612,32.611612,11.130593,0.202907,10.933429,11.393862,1.000000
real_moe_uav,redundancy_nu,0.7,5,3969.219762,4.516500,3966.185305,3977.053019,377.000000,0.000000,377.000000,377.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.055918,0.000000,0.055918,0.055918,34.737873,0.000000,34.737873,34.737873,12.946036,0.121140,12.886114,13.162614,1.000000
real_moe_uav,remote_eta,0,5,3783.453954,5.076959,3777.302698,3790.068237,373.000000,0.000000,373.000000,373.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.051404,0.000000,0.051404,0.051404,32.363911,0.000000,32.363911,32.363911,10.680367,0.135955,10.533624,10.866471,1.000000
real_moe_uav,remote_eta,0.25,5,3799.061096,7.746210,3790.853946,3808.392217,384.000000,0.000000,384.000000,384.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.051327,0.000000,0.051327,0.051327,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
real_moe_uav,remote_eta,0.5,5,3799.041046,7.746210,3790.833896,3808.372167,384.000000,0.000000,384.000000,384.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.050826,0.000000,0.050826,0.050826,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
real_moe_uav,remote_eta,0.75,5,3799.077062,7.746210,3790.869912,3808.408182,385.000000,0.000000,385.000000,385.000000,49.000000,0.000000,49.000000,49.000000,51.490667,0.030284,51.469920,51.543982,0.051726,0.000000,0.051726,0.051726,32.402480,0.000000,32.402480,32.402480,11.032053,0.203273,10.836466,11.286078,1.000000
